Word,Clue
Hip,Joint in the body
Omit,Leave out
Infer,Conclude from evidence
Yonder,At some distance in the direction indicated
Dolphin,Intelligent marine mammal
Banishes,Drives away or gets rid of
Fig,Edible fruit
Quiz,Test of knowledge
Dream,Vision during sleep
Nimble,Quick and light in movement
Fantasy,Imaginative story not based on reality
Zodiacal,Relating to the zodiac
Cap,Head covering
Vein,Blood vessel
Urban,Relating to a city
Horizon,Line where earth and sky meet
Dry,Not wet
Sage,Wise person or herb
Unzip,Open a zipper
Insider,Person within a group or organization
Toy,Plaything
Iced,Chilled with ice
Toast,Browned bread
Eternal,Never-ending; lasting forever
Hop,Short jump
Knee,Joint in the leg
Onion,Pungent vegetable
Journey,Trip from one place to another
Law,Rule or regulation
Quiz,Short test
Whale,Large sea mammal
Abandon,To leave behind or give up
Sky,Space above earth
Slam,Shut forcefully
Fable,Short moral story
Capture,To take possession or control
Net,Mesh for catching
Keen,Sharp or eager
Knife,Sharp cutting tool
Radical,Extreme or revolutionary in nature
Den,Animal’s lair
Aged,Old or mature
Apple,Crunchy fruit
Flannel,Soft woven fabric
Red,Color
Gems,Precious stones
Sheep,Woolly farm animal
Tangled,Knotted or twisted together
Dew,Morning moisture
Claw,Animal’s sharp nail
Frost,Ice crystals on surfaces
Puzzled,Confused or perplexed
Key,Unlocking tool
Yolk,Yellow part of an egg
Yacht,Luxury boat
Quester,One who seeks or searches
Ash,Fire residue
Bend,Curve or angle
Image,Picture or likeness
Hammock,Swinging bed hung between supports
Rug,Small carpet
Urge,Strong desire
Plaza,Public square
Teacher,One who instructs students
Saw,Tool for cutting
Echo,Reflected sound
Eagle,Majestic bird of prey
Justice,Fair treatment under the law
End,Finish or conclusion
Wade,Walk through water
Blush,Redden from embarrassment
Beneath,Directly under something
Mud,Wet dirt
Mild,Not severe
Chirp,Bird's sound
Lattice,Crisscrossed framework or structure
Pot,Cooking vessel
Rift,Gap or split
Mango,Juicy tropical fruit
Zephyrs,"Gentle, mild breezes"
Oil,Greasy liquid
Arch,Curved structure
Grill,Barbecue device
Baggage,Suitcases and bags for travel
Bus,Large passenger vehicle
Ally,Supportive partner
Flute,Woodwind instrument
Wistful,Longing or yearning in a sad way
Bed,Place to sleep
Wasp,Stinging insect
Nudge,Gentle push
Nuggets,Small lumps of gold or food
War,Armed conflict
Undo,Cancel an action
Brick,Building block
Octopus,Sea creature with eight arms
Bee,Honey-making insect
Pale,Light in color
Raven,Large black bird
Operate,To perform a function or surgery
Yen,Japanese currency
Pond,Small body of water
Toast,Raised bread or a celebratory drink
Resolve,Settle or find a solution
Fog,Thick mist
Iron,Metal or to press clothes
Paint,Colored liquid for art or walls
Sandbox,Box filled with sand for children to play in
Lay,To put down
Jolt,Sudden shock or movement
Piano,Keyboard instrument
Eclipse,Obscuring of light from one body by another
Mix,Combine together
Herd,Group of animals
Vivid,Strikingly bright
Jackpot,Large cash prize in a game
Fun,Enjoyment
Lamb,Young sheep
Jolly,Cheerful and happy
Pioneer,First to explore or settle a new area
Ace,Top playing card
Rays,Lines of light
Wharf,Dock for ships
Cranium,"Skull, especially the part enclosing the brain"
Bet,Wager
Yule,Christmas time
Lemon,Sour yellow fruit
Quicken,To make or become faster
Fit,In good shape
Fawn,Young deer
Wrist,Joint between hand and arm
Dazzles,Amazes or impresses greatly
Gun,Firearm
Dine,To eat dinner
Knack,Special talent
Kingdom,Realm ruled by a king or queen
Cut,To slice
Peck,Quick kiss or bird’s bite
Drill,Tool for making holes
Cushion,Soft pillow or pad
Lab,Science workspace
Fame,Being well-known
Swoop,Move down suddenly
Faucets,Devices controlling flow of liquid
Toe,Part of a foot
Vine,Climbing plant
Flame,Burning fire
Tension,Mental or emotional strain
Pet,Domesticated animal
Vast,Enormous
Quirk,Odd behavior
Zealous,Showing great energy or enthusiasm
Bow,Front of a ship or to bend
Knot,Tied loop in rope
Peach,Juicy fruit with fuzzy skin
Luggage,Bags and suitcases for travel
Mat,Floor covering
Quiz,Short test
Koala,Australian marsupial
Stellar,Relating to stars or outstanding
Cow,Farm animal for milk
Zest,Great enthusiasm
Queen,Female monarch
Mystery,Something difficult to explain or understand
Fly,Insect or to soar
Jury,Group deciding a verdict
Zesty,Full of flavor
Nostalg,Sentimental longing for the past
Kid,Young goat or child
Halt,Stop movement
Jewel,Precious stone
Kindred,Related by blood or similar in spirit
Rig,Equipment setup
Gaze,Steady look
Horse,Large riding animal
Cabinet,Storage cupboard with shelves or drawers
Dot,Small spot
Cane,Walking stick or sugar plant
Usher,Show to a seat
Muffler,Scarf or device to reduce noise
Job,Work or occupation
Tide,Ocean’s rise and fall
Clown,Circus performer
Instant,Immediate; happening at once
Yak,Long-haired bovine
Gulp,Swallow quickly
Tiger,Striped big cat
Excited,Very enthusiastic or eager
Bay,Coastal inlet
Acid,Sour substance
Grasp,Hold firmly
Uncover,Reveal or expose something hidden
Eat,Consume food
Earn,Receive as payment
Angel,Heavenly being
Horizon,Line where earth and sky appear to meet
Kit,Set of tools or supplies
Nest,Bird’s home
Moist,Slightly wet
Harvest,Collect crops from the fields
Day,24-hour period
Zone,Area or region
Nurse,Medical caretaker
Academy,School or place of learning
Tub,Bathing vessel
Dawn,First light of day
Zebra,Striped African animal
Welfare,"Health, happiness, and fortunes of a group"
Die,To stop living
Rage,Intense anger
Dance,Move rhythmically to music
Passion,Strong and barely controllable emotion
Run,Move quickly
Oven,Kitchen appliance for baking
River,Natural watercourse
